Date,Cash
1/9/2011,4.75
1/10/2011,4.75
1/11/2011,4.5
1/12/2011,4.25
1/2/2012,4.25
1/3/2012,4.25
1/4/2012,4.25
1/5/2012,3.75
1/6/2012,3.5
1/7/2012,3.5
1/8/2012,3.5
1/9/2012,3.5
1/10/2012,3.25
1/11/2012,3.25
1/12/2012,3
1/2/2013,3
1/3/2013,3
1/4/2013,3
1/5/2013,2.75
1/6/2013,2.75
1/7/2013,2.75
1/8/2013,2.5
1/9/2013,2.5
1/10/2013,2.5
1/11/2013,2.5
1/12/2013,2.5
1/2/2014,2.5
1/3/2014,2.5
1/4/2014,2.5
1/5/2014,2.5
1/6/2014,2.5
1/7/2014,2.5
1/8/2014,2.5
1/9/2014,2.5
1/10/2014,2.5
1/11/2014,2.5
1/12/2014,2.5
1/2/2015,2.25
1/3/2015,2.25
1/4/2015,2.25
1/5/2015,2
1/6/2015,2
1/7/2015,2
1/8/2015,2
1/9/2015,2
1/10/2015,2
1/11/2015,2
1/12/2015,2
1/2/2016,2
1/3/2016,2
1/4/2016,2
1/5/2016,1.75
1/6/2016,1.75
1/7/2016,1.75
1/8/2016,1.5
1/9/2016,1.5
1/10/2016,1.5
1/11/2016,1.5
1/12/2016,1.5
1/2/2017,1.5
1/3/2017,1.5
1/4/2017,1.5
1/5/2017,1.5
1/6/2017,1.5
1/7/2017,1.5
1/8/2017,1.5
1/9/2017,1.5
1/10/2017,1.5
1/11/2017,1.5
1/12/2017,1.5
1/2/2018,1.5
1/3/2018,1.5
1/4/2018,1.5
1/5/2018,1.5
1/6/2018,1.5
1/7/2018,1.5
1/8/2018,1.5
1/9/2018,1.5
1/10/2018,1.5
1/11/2018,1.5
1/12/2018,1.5
1/2/2019,1.5
1/3/2019,1.5
1/4/2019,1.5
1/6/2019,1.25
1/7/2019,1
1/8/2019,1
1/9/2019,1
1/10/2019,0.75
1/11/2019,0.75
1/12/2019,0.75
1/2/2020,0.75
1/3/2020,0.5
10/3/2020,0.25
1/4/2020,0.25
1/5/2020,0.25
1/6/2020,0.25
1/7/2020,0.25
1/8/2020,0.25
1/9/2020,0.25
1/10/2020,0.25
1/11/2020,0.1
1/12/2020,0.1
1/2/2021,0.1
1/3/2021,0.1
1/4/2021,0.1
1/5/2021,0.1
1/6/2021,0.1
1/7/2021,0.1
1/8/2021,0.1
1/9/2021,0.1
1/10/2021,0.1
1/11/2021,0.1
1/12/2021,0.1
1/2/2022,0.1
1/3/2022,0.1
1/4/2022,0.1
1/5/2022,0.35
1/6/2022,0.85
1/7/2022,1.35
1/8/2022,1.85
