,Total (ex. refinancing) ($b),Owner occupier (ex. refinancing) ($b),Investor (ex. refinancing) ($b)
1/6/2004,11.794,7.25,4.544
1/7/2004,12.027,7.33,4.696
1/8/2004,12.048,7.392,4.655
1/9/2004,12.213,7.415,4.798
1/10/2004,11.957,7.415,4.542
1/11/2004,12.573,7.695,4.878
1/12/2004,12.945,7.933,5.012
1/1/2005,13.225,8.097,5.128
1/2/2005,13.826,8.491,5.335
1/3/2005,13.493,8.206,5.287
1/4/2005,13.249,8.087,5.162
1/5/2005,12.733,8.03,4.703
1/6/2005,12.685,8.152,4.533
1/7/2005,12.841,8.094,4.747
1/8/2005,12.9,8.308,4.592
1/9/2005,13.527,8.643,4.884
1/10/2005,14.014,8.713,5.301
1/11/2005,14.053,8.851,5.202
1/12/2005,14.033,8.877,5.155
1/1/2006,14.269,8.956,5.313
1/2/2006,14.427,9.179,5.248
1/3/2006,14.539,9.259,5.28
1/4/2006,14.722,9.472,5.25
1/5/2006,15.249,9.487,5.762
1/6/2006,15.549,9.519,6.03
1/7/2006,15.285,9.798,5.487
1/8/2006,15.011,9.489,5.522
1/9/2006,14.155,9.167,4.988
1/10/2006,14.313,9.276,5.037
1/11/2006,14.202,9.23,4.972
1/12/2006,14.58,9.399,5.181
1/1/2007,14.964,9.58,5.384
1/2/2007,15.403,9.77,5.633
1/3/2007,15.908,10.079,5.829
1/4/2007,16.305,10.264,6.041
1/5/2007,17.102,10.697,6.404
1/6/2007,18.29,11.344,6.946
1/7/2007,17.431,10.794,6.637
1/8/2007,17.437,11.056,6.381
1/9/2007,16.745,10.432,6.313
1/10/2007,16.85,10.772,6.078
1/11/2007,16.994,10.662,6.332
1/12/2007,16.547,10.361,6.186
1/1/2008,16.871,10.777,6.094
1/2/2008,15.697,9.921,5.776
1/3/2008,14.557,9.145,5.412
1/4/2008,13.855,8.694,5.161
1/5/2008,12.996,8.204,4.791
1/6/2008,12.96,8.198,4.762
1/7/2008,12.786,8.136,4.65
1/8/2008,12.62,7.956,4.664
1/9/2008,12.983,8.242,4.741
1/10/2008,13.373,8.564,4.808
1/11/2008,13.034,8.541,4.492
1/12/2008,13.929,9.381,4.548
1/1/2009,14.888,10.228,4.661
1/2/2009,15.371,10.787,4.584
1/3/2009,16.708,11.959,4.749
1/4/2009,17.013,11.927,5.086
1/5/2009,16.857,11.831,5.026
1/6/2009,17.215,11.968,5.247
1/7/2009,17.222,11.783,5.44
1/8/2009,17.335,11.629,5.706
1/9/2009,17.873,12.168,5.705
