s,Date,Cash,Unemployment_rate,Mean_price,dwellings_number,total_earnings,price_index,Total_loans
1,2011-11-01,4.5,4.8923976,NA,NA,1390.5,NA,14.034
2,2011-12-01,4.25,5.0347458,486.9,9037.2,1390.5,99.4,14.731
3,2012-01-01,NA,5.4422656,486.9,9037.2,1390.5,99.4,14.772
4,2012-02-01,4.25,5.8606423,486.9,9037.2,1390.5,99.4,14.076
5,2012-03-01,4.25,5.5014164,488.6,9063.4,1390.5,100,14.092
6,2012-04-01,4.25,5.0229689,488.6,9063.4,1390.5,100,14.348
7,2012-05-01,3.75,5.1684158,488.6,9063.4,1413.1,100,14.512
8,2012-06-01,3.5,5.0125845,489.9,9097.6,1413.1,100.4,14.733
9,2012-07-01,3.5,4.880931,489.9,9097.6,1413.1,100.4,14.779
10,2012-08-01,3.5,4.9833287,489.9,9097.6,1413.1,100.4,14.874
11,2012-09-01,3.5,5.4551464,486.3,9130.2,1413.1,100.2,15.098
12,2012-10-01,3.25,5.1840451,486.3,9130.2,1413.1,100.2,14.902
13,2012-11-01,3.25,4.9231013,486.3,9130.2,1458,100.2,15.183
14,2012-12-01,3,5.2456643,496.4,9166.1,1458,102.4,15.371
15,2013-01-01,NA,5.8059266,496.4,9166.1,1458,102.4,15.89
16,2013-02-01,3,6.0904515,496.4,9166.1,1458,102.4,16.136
17,2013-03-01,3,5.9694326,501.1,9193.9,1458,103.1,16.884
18,2013-04-01,3,5.6141709,501.1,9193.9,1458,103.1,16.937
19,2013-05-01,2.75,5.5627418,501.1,9193.9,1482.5,103.1,17.236
20,2013-06-01,2.75,5.5351543,508.1,9226.9,1482.5,105.7,17.303
21,2013-07-01,2.75,5.336587,508.1,9226.9,1482.5,105.7,17.475
22,2013-08-01,2.5,5.6548495,508.1,9226.9,1482.5,105.7,17.362
23,2013-09-01,2.5,5.6680724,515.5,9261.4,1482.5,108.3,18.204
24,2013-10-01,2.5,5.594286,515.5,9261.4,1482.5,108.3,18.693
25,2013-11-01,2.5,5.4329909,515.5,9261.4,1500.1,108.3,19.219
26,2013-12-01,2.5,5.6786141,532.7,9299.4,1500.1,112.6,19.004
27,2014-01-01,NA,6.3830398,532.7,9299.4,1500.1,112.6,19.167
28,2014-02-01,2.5,6.8052672,532.7,9299.4,1500.1,112.6,19.368
29,2014-03-01,2.5,6.2329598,539.3,9329.1,1500.1,114.2,19.489
30,2014-04-01,2.5,5.8212597,539.3,9329.1,1500.1,114.2,19.59
31,2014-05-01,2.5,5.8505352,539.3,9329.1,1515.8,114.2,19.509
32,2014-06-01,2.5,5.8803396,547.5,9366.8,1515.8,116.4,19.641
33,2014-07-01,2.5,6.0380858,547.5,9366.8,1515.8,116.4,19.826
34,2014-08-01,2.5,5.962906,547.5,9366.8,1515.8,116.4,19.63
35,2014-09-01,2.5,6.0782219,553.5,9416.3,1515.8,117.8,19.995
36,2014-10-01,2.5,6.1124438,553.5,9416.3,1515.8,117.8,20.585
37,2014-11-01,2.5,5.8816251,553.5,9416.3,1542.4,117.8,20.048
38,2014-12-01,2.5,5.8802479,568.7,9467.2,1542.4,120.2,20.464
39,2015-01-01,NA,6.807303,568.7,9467.2,1542.4,120.2,20.695
40,2015-02-01,2.25,6.6670329,568.7,9467.2,1542.4,120.2,20.106
